transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,bonuspoints,paymenttype,DiscountPercent,FulfillmentType,IsRepeatCustomer,AnomalyFlag
605,2024-06-20,1002,108,402,0,12.56,30,Cash,0,Endless Aisle,TRUE,FALSE
606,2024-07-02,1005,105,405,0,79.12,40,Debit,0,Endless Aisle,TRUE,FALSE
607,2024-07-02,1011,108,401,0,50.24,20,Credit,0,Endless Aisle,TRUE,FALSE
608,2024-07-04,1003,102,403,0,39.1,100,Cash,0,Endless Aisle,TRUE,FALSE
609,2024-07-04,1004,101,404,0,3965.6,70,Debit,0,Endless Aisle,TRUE,FALSE
610,2024-07-04,1010,106,402,0,88.98,50,Credit,0,Endless Aisle,TRUE,FALSE
611,2024-07-04,1006,102,406,0,195.5,20,Cash,0,Endless Aisle,TRUE,FALSE
612,2024-07-07,1003,104,403,2,258.6,50,Debit,0,Endless Aisle,TRUE,FALSE
613,2024-07-07,1003,104,403,2,258.6,70,Credit,0,POS,TRUE,FALSE
614,2024-07-15,1011,101,401,2,7138.08,60,Cash,0,POS,TRUE,FALSE
615,2024-07-15,1010,104,402,2,387.9,30,Debit,0,POS,TRUE,FALSE
616,2024-07-17,1001,107,401,2,134.04,40,Credit,0,POS,FALSE,TRUE
617,2024-07-17,1003,107,403,2,134.04,20,Cash,0,POS,FALSE,TRUE
618,2024-07-21,1001,104,401,2,172.4,100,Debit,0,POS,TRUE,TRUE
619,2024-07-21,1008,105,404,2,79.12,70,Credit,0,POS,TRUE,FALSE
620,2024-07-25,1007,108,405,0,125.6,50,Cash,0,POS,TRUE,FALSE
621,2024-07-25,1010,101,402,0,7931.2,20,Debit,0,POS,TRUE,TRUE
622,2024-08-01,1003,108,403,0,100.48,50,Credit,0,POS,TRUE,TRUE
623,2024-08-01,1002,107,402,0,536.16,70,Cash,0,POS,TRUE,FALSE
624,2024-08-02,1011,108,401,0,125.6,60,Debit,0,POS,TRUE,FALSE
625,2024-08-02,1002,108,402,0,125.6,30,Credit,0,POS,TRUE,FALSE
626,2024-08-05,1003,108,403,0,37.68,40,Cash,0,POS,TRUE,FALSE
627,2024-08-05,1006,104,406,0,129.3,20,Debit,0,POS,TRUE,FALSE
628,2024-08-14,1011,107,401,0,201.06,100,Credit,0,POS,TRUE,FALSE
629,2024-08-14,1006,101,406,0,2379.36,70,Cash,0,Endless Aisle,TRUE,FALSE
630,2024-08-21,1007,104,405,0,172.4,50,Debit,0,Endless Aisle,TRUE,FALSE
631,2024-08-21,1002,107,402,0,268.08,20,Credit,0,Endless Aisle,TRUE,FALSE
632,2024-08-25,1006,108,406,0,75.36,50,Cash,0,Endless Aisle,TRUE,FALSE
633,2024-08-25,1002,104,402,0,258.6,70,Debit,0,Endless Aisle,TRUE,FALSE
634,2024-08-28,1006,105,406,0,39.56,60,Credit,0,Endless Aisle,TRUE,FALSE
635,2024-08-28,1005,106,405,0,177.96,30,Cash,0,Endless Aisle,TRUE,TRUE
636,2024-09-05,1005,107,405,3,1072.32,40,Debit,0,Endless Aisle,TRUE,TRUE
637,2024-09-05,1007,107,405,3,1072.32,0,Credit,0,Endless Aisle,TRUE,FALSE
638,2024-09-22,1001,101,401,3,6344.96,100,Cash,0,Endless Aisle,TRUE,FALSE
639,2024-09-22,1007,104,405,3,689.6,70,Debit,0,Endless Aisle,TRUE,FALSE
641,2024-09-30,1010,103,402,3,45.52,60,Cash,0,Endless Aisle,TRUE,FALSE
642,2024-10-10,1002,101,402,0,5551.84,45,Debit,0,Endless Aisle,TRUE,FALSE
